Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,Lowest distortion
GaThO3,Ga,Th,FALSE,-,-,0.62,0.62,0.94,1.81,1.3,2.233187797,2.246056043,-2.175928571,0.610408418,-,0.671428571,cubic
GaTiO3,Ga,Ti,FALSE,-,-,0.62,0.62,0.71,1.81,1.54,2.233187797,1.927848949,-1.706321429,0.676945828,-,0.507142857,cubic
GaTlO3,Ga,Tl,FALSE,-,-,0.62,0.62,1.2,1.81,1.62,2.233187797,2.297683747,-2.575857143,0.549367576,-,0.857142857,orthorhombic
GaTmO3,Ga,Tm,FALSE,-,-,0.62,0.62,0.96,1.81,1.25,2.233187797,2.119700811,-2.223214286,0.605235465,-,0.685714286,cubic
GaUO3,Ga,U,FALSE,1,5,0.62,0.62,0.76,1.81,1.38,2.233187797,2.0478,-1.832285714,0.661275786,-3.164739825,0.542857143,tetragonal
GaVO3,Ga,V,FALSE,1,5,0.62,0.62,0.54,1.81,1.63,2.233187797,1.758039163,-1.378571429,0.736265824,9.903452781,0.385714286,cubic
GaWO3,Ga,W,FALSE,1,5,0.62,0.62,0.62,1.81,2.36,2.233187797,1.7456,-1.361785714,0.707106781,-,0.442857143,cubic
GaYO3,Ga,Y,FALSE,-,-,0.62,0.62,0.9,1.81,1.22,2.233187797,2.235124352,-2.121214286,0.621024217,-,0.642857143,rhombohedral
GaYbO3,Ga,Yb,FALSE,-,-,0.62,0.62,0.95,1.81,1.1,2.233187797,2.223980699,-2.238321429,0.607810935,-,0.678571429,orthorhombic
GaZnO3,Ga,Zn,FALSE,-,-,0.62,0.62,0.74,1.81,1.65,2.233187797,2.096140752,-1.736285714,0.667455934,-,0.528571429,cubic
GaZrO3,Ga,Zr,FALSE,-,-,0.62,0.62,0.72,1.81,1.33,2.233187797,2.043777903,-1.770928571,0.673752688,-,0.514285714,cubic
GdAcO3,Gd,Ac,FALSE,0,0,1.11,0.94,1.12,1.2,1.1,2.57181216,0,-3.199642857,0.704300802,-,0.8,cubic
GdAgO3,Gd,Ag,FALSE,3,3,1.11,0.94,0.75,1.2,1.93,2.57181216,2.488353231,-2.120035714,0.825506056,4.191981316,0.535714286,cubic
GdAlO3,Gd,Al,TRUE,3,3,1.11,0.94,0.54,1.2,1.61,2.57181216,1.892894405,-1.820892857,0.914864959,2.150915506,0.385714286,orthorhombic
GdAsO3,Gd,As,FALSE,3,3,1.11,0.94,0.58,1.2,2.18,2.57181216,1.932227032,-1.676071429,0.896382839,2.259106017,0.414285714,cubic
GdAuO3,Gd,Au,FALSE,0,0,1.11,0.94,0.93,1.2,2.54,2.57181216,2.31369847,-2.243357143,0.761733056,-,0.664285714,cubic
GdBO3,Gd,B,FALSE,-,-,1.11,0.94,0.27,1.2,2.04,2.57181216,1.624661665,-1.102714286,1.062777258,-,0.192857143,cubic
GdBaO3,Gd,Ba,FALSE,-,-,1.11,0.94,1.35,1.2,0.89,2.57181216,2.64009357,-3.749464286,0.645395644,-,0.964285714,orthorhombic
GdBeO3,Gd,Be,FALSE,-,-,1.11,0.94,0.45,1.2,1.57,2.57181216,1.803349248,-1.654178571,0.959371903,-,0.321428571,orthorhombic
GdBiO3,Gd,Bi,FALSE,3,3,1.11,0.94,1.03,1.2,2.02,2.57181216,2.215655462,-2.652357143,0.730386017,35.58057728,0.735714286,cubic
GdCaO3,Gd,Ca,FALSE,-,-,1.11,0.94,1,1.2,1,2.57181216,2.318139449,-2.995857143,0.739515842,-,0.714285714,cubic
GdCdO3,Gd,Cd,FALSE,-,-,1.11,0.94,0.95,1.2,1.69,2.57181216,2.286435201,-2.620892857,0.755250222,-,0.678571429,cubic
GdCeO3,Gd,Ce,FALSE,3,3,1.11,0.94,1.01,1.2,1.12,2.57181216,2.268642439,-2.968571429,0.736447312,27.30871802,0.721428571,cubic
GdCoO3,Gd,Co,FALSE,3,3,1.11,0.94,0.61,1.2,1.88,2.57181216,1.930310969,-1.855857143,0.88300399,-,0.435714286,-
GdCrO3,Gd,Cr,TRUE,3,3,1.11,0.94,0.62,1.2,1.66,2.57181216,1.960053288,-1.963357143,0.878632684,2.480259443,0.442857143,orthorhombic
GdCsO3,Gd,Cs,FALSE,-,-,1.11,0.94,1.67,1.2,0.79,2.57181216,3.009747218,-4.43825,0.578123134,-,1.192857143,tetragonal
GdCuO3,Gd,Cu,FALSE,3,3,1.11,0.94,0.54,1.2,1.9,2.57181216,2.005573846,-1.705928571,0.914864959,2.150915506,0.385714286,orthorhombic
GdDyO3,Gd,Dy,FALSE,3,3,1.11,0.94,0.91,1.2,1.22,2.57181216,2.255580699,-2.726071429,0.768328148,10.95758804,0.65,cubic
GdErO3,Gd,Er,FALSE,3,3,1.11,0.94,0.89,1.2,1.24,2.57181216,2.250676638,-2.677571429,0.775038437,9.511365607,0.635714286,cubic
GdEuO3,Gd,Eu,FALSE,3,3,1.11,0.94,0.95,1.2,1.2,2.57181216,2.354367494,-2.815142857,0.755250222,14.99336699,0.678571429,cubic
GdFeO3,Gd,Fe,TRUE,3,3,1.11,0.94,0.65,1.2,1.83,2.57181216,1.999521816,-1.956821429,0.865774644,2.727133256,0.464285714,orthorhombic
GdGaO3,Gd,Ga,TRUE,3,3,1.11,0.94,0.62,1.2,1.81,2.57181216,1.974643898,-1.903892857,0.878632684,2.480259443,0.442857143,orthorhombic
Gd2O3,Gd,Gd,FALSE,3,3,1.11,0.94,0.94,1.2,1.2,2.57181216,2.28415608,-2.794857143,0.758477787,13.79982136,0.671428571,cubic
GdGeO3,Gd,Ge,FALSE,2,4,1.11,0.94,0.53,1.2,2.01,2.57181216,1.899964183,-1.642035714,0.919605192,4.307719254,0.378571429,cubic
GdHfO3,Gd,Hf,FALSE,2,4,1.11,0.94,0.71,1.2,1.3,2.57181216,2.027412322,-2.288642857,0.84115546,4.969164083,0.507142857,orthorhombic
GdHgO3,Gd,Hg,FALSE,-,-,1.11,0.94,1.11,1.2,2,2.57181216,2.323654714,-2.822571429,0.707106781,-,0.792857143,cubic
GdHoO3,Gd,Ho,FALSE,3,3,1.11,0.94,0.9,1.2,1.23,2.57181216,2.25865608,-2.701821429,0.771668705,10.19808193,0.642857143,cubic
GdInO3,Gd,In,FALSE,3,3,1.11,0.94,0.8,1.2,1.78,2.57181216,2.147680955,-2.280928571,0.806744555,5.459785248,0.571428571,cubic
GdIrO3,Gd,Ir,FALSE,2,4,1.11,0.94,0.63,1.2,2.2,2.57181216,2.009082787,-1.769571429,0.874304444,4.443687046,0.45,cubic
GdKO3,Gd,K,FALSE,-,-,1.11,0.94,1.38,1.2,0.82,2.57181216,2.723507129,-3.838071429,0.638430943,-,0.985714286,orthorhombic
GdLaO3,Gd,La,FALSE,3,3,1.11,0.94,1.03,1.2,1.1,2.57181216,2.376509378,-3.017071429,0.730386017,35.58057728,0.735714286,cubic
GdLiO3,Gd,Li,FALSE,-,-,1.11,0.94,0.76,1.2,0.98,2.57181216,2.095547886,-2.516928571,0.821684269,-,0.542857143,orthorhombic
GdLuO3,Gd,Lu,FALSE,3,3,1.11,0.94,0.86,1.2,1.27,2.57181216,2.209114963,-2.604821429,0.785326558,7.80170172,0.614285714,cubic
GdMgO3,Gd,Mg,FALSE,-,-,1.11,0.94,0.72,1.2,1.31,2.57181216,2.046489492,-2.304964286,0.837187746,-,0.514285714,orthorhombic
GdMnO3,Gd,Mn,TRUE,3,3,1.11,0.94,0.65,1.2,1.55,2.57181216,2.16999357,-2.067821429,0.865774644,2.727133256,0.464285714,orthorhombic
GdMoO3,Gd,Mo,FALSE,3,3,1.11,0.94,0.69,1.2,2.16,2.57181216,1.7893,-1.907142857,0.849204795,3.180113837,0.492857143,cubic
GdNaO3,Gd,Na,FALSE,-,-,1.11,0.94,1.02,1.2,0.93,2.57181216,2.425828064,-3.064178571,0.733404141,-,0.728571429,cubic
GdNbO3,Gd,Nb,FALSE,3,3,1.11,0.94,0.72,1.2,1.6,2.57181216,1.955055241,-2.19,0.837187746,3.629091633,0.514285714,cubic
GdNdO3,Gd,Nd,FALSE,3,3,1.11,0.94,0.98,1.2,1.14,2.57181216,2.320966993,-2.899785714,0.745730261,19.70767317,0.7,cubic
GdNiO3,Gd,Ni,TRUE,3,3,1.11,0.94,0.6,1.2,1.91,2.57181216,2.103725488,-1.823678571,0.88741901,2.355000367,0.428571429,orthorhombic
GdNpO3,Gd,Np,FALSE,0,0,1.11,0.94,0.86,1.2,1.36,2.57181216,0,-2.569142857,0.785326558,-,0.614285714,cubic
GdOsO3,Gd,Os,FALSE,0,0,1.11,0.94,0.57,1.2,2.2,2.57181216,1.954921624,-1.647857143,0.900933005,-,0.407142857,cubic
GdPaO3,Gd,Pa,FALSE,0,0,1.11,0.94,0.91,1.2,1.5,2.57181216,0,-2.615071429,0.768328148,-,0.65,cubic
GdPbO3,Gd,Pb,FALSE,2,4,1.11,0.94,0.78,1.2,2.33,2.57181216,2.362863567,-2.022321429,0.814145881,5.861712556,0.557142857,cubic
GdPdO3,Gd,Pd,FALSE,2,4,1.11,0.94,0.62,1.2,2.2,2.57181216,2.04250519,-1.749285714,0.878632684,4.406194467,0.442857143,orthorhombic
GdPmO3,Gd,Pm,FALSE,0,0,1.11,0.94,0.97,1.2,1.13,2.57181216,0,-2.883464286,0.748876802,-,0.692857143,cubic
GdPrO3,Gd,Pr,FALSE,3,3,1.11,0.94,0.99,1.2,1.13,2.57181216,2.340791612,-2.924035714,0.742610051,21.81389702,0.707142857,cubic
GdPtO3,Gd,Pt,FALSE,0,0,1.11,0.94,0.67,1.2,2.28,2.57181216,2.64390067,-1.819,0.857409672,-,0.478571429,cubic
GdPuO3,Gd,Pu,FALSE,0,0,1.11,0.94,0.83,1.2,1.28,2.57181216,2.226583834,-2.54,0.795891489,-,0.592857143,cubic
GdRbO3,Gd,Rb,FALSE,-,-,1.11,0.94,1.52,1.2,0.82,2.57181216,2.825996661,-4.122071429,0.60782124,-,1.085714286,orthorhombic
GdReO3,Gd,Re,FALSE,3,3,1.11,0.94,0.63,1.2,1.9,2.57181216,1.98797081,-1.8885,0.874304444,2.554419459,0.45,cubic
GdRhO3,Gd,Rh,TRUE,3,3,1.11,0.94,0.67,1.2,2.28,2.57181216,2.001424352,-1.819,0.857409672,2.934598312,0.478571429,orthorhombic
GdRuO3,Gd,Ru,FALSE,2,4,1.11,0.94,0.62,1.2,2.2,2.57181216,2.018753288,-1.749285714,0.878632684,4.406194467,0.442857143,cubic
GdSbO3,Gd,Sb,FALSE,3,3,1.11,0.94,0.76,1.2,2.05,2.57181216,2.075848892,-2.09275,0.821684269,4.409199392,0.542857143,cubic
GdScO3,Gd,Sc,TRUE,3,3,1.11,0.94,0.75,1.2,1.36,2.57181216,2.074614707,-2.346,0.825506056,4.191981316,0.535714286,orthorhombic
GdSiO3,Gd,Si,FALSE,3,3,1.11,0.94,0.4,1.2,1.9,2.57181216,1.783360927,-1.421928571,0.986021123,2.656560922,0.285714286,cubic
GdSmO3,Gd,Sm,FALSE,3,3,1.11,0.94,0.96,1.2,1.17,2.57181216,2.311832729,-2.847321429,0.752050009,16.35075639,0.685714286,cubic
GdSnO3,Gd,Sn,FALSE,2,4,1.11,0.94,0.69,1.2,1.96,2.57181216,2.052287148,-1.986428571,0.849204795,4.796404394,0.492857143,cubic
GdSrO3,Gd,Sr,FALSE,-,-,1.11,0.94,1.18,1.2,0.95,2.57181216,2.452968591,-3.380821429,0.687921713,-,0.842857143,orthorhombic
GdTaO3,Gd,Ta,FALSE,3,3,1.11,0.94,0.72,1.2,1.5,2.57181216,1.956808277,-2.229642857,0.837187746,3.629091633,0.514285714,cubic
GdTbO3,Gd,Tb,FALSE,3,3,1.11,0.94,0.92,1.2,1.2,2.57181216,2.256932729,-2.754285714,0.765016388,11.80124218,0.657142857,cubic
GdTcO3,Gd,Tc,FALSE,0,0,1.11,0.94,0.6,1.2,1.9,2.57181216,0,-1.827642857,0.88741901,-,0.428571429,cubic
GdTeO3,Gd,Te,FALSE,2,4,1.11,0.94,0.97,1.2,2.1,2.57181216,2.115491508,-2.498928571,0.748876802,14.41906656,0.692857143,cubic
GdThO3,Gd,Th,FALSE,-,-,1.11,0.94,0.94,1.2,1.3,2.57181216,2.246056043,-2.755214286,0.758477787,-,0.671428571,cubic
GdTiO3,Gd,Ti,TRUE,2,4,1.11,0.94,0.61,1.2,1.54,2.57181216,1.927848949,-1.990642857,0.88300399,4.374269702,0.435714286,orthorhombic
GdTlO3,Gd,Tl,FALSE,3,3,1.11,0.94,0.89,1.2,1.62,2.57181216,2.297683747,-2.526928571,0.775038437,9.511365607,0.635714286,orthorhombic
GdTmO3,Gd,Tm,FALSE,3,3,1.11,0.94,0.88,1.2,1.25,2.57181216,2.119700811,-2.653321429,0.778437728,8.88806105,0.628571429,cubic
GdUO3,Gd,U,FALSE,3,3,1.11,0.94,1.03,1.2,1.38,2.57181216,2.0478,-2.906071429,0.730386017,35.58057728,0.735714286,cubic
GdVO3,Gd,V,TRUE,3,3,1.11,0.94,0.64,1.2,1.63,2.57181216,1.758039163,-2.015821429,0.870018638,2.636609657,0.457142857,orthorhombic
GdWO3,Gd,W,FALSE,3,3,1.11,0.94,0.66,1.2,2.36,2.57181216,1.7456,-1.767,0.861571855,2.826333714,0.471428571,cubic
GdYO3,Gd,Y,FALSE,3,3,1.11,0.94,0.9,1.2,1.22,2.57181216,2.235124352,-2.705785714,0.771668705,10.19808193,0.642857143,cubic
GdYbO3,Gd,Yb,FALSE,3,3,1.11,0.94,0.87,1.2,1.1,2.57181216,2.223980699,-2.6925,0.78186697,8.320358221,0.621428571,cubic
GdZnO3,Gd,Zn,FALSE,-,-,1.11,0.94,0.74,1.2,1.65,2.57181216,2.096140752,-2.21075,0.829363561,-,0.528571429,orthorhombic
GdZrO3,Gd,Zr,FALSE,2,4,1.11,0.94,0.72,1.2,1.33,2.57181216,2.043777903,-2.297035714,0.837187746,5.06754257,0.514285714,cubic
GeAcO3,Ge,Ac,FALSE,0,0,0.63,0.63,1.12,2.01,1.1,2.174450466,0,-2.4745,0.569613796,-,0.8,orthorhombic
GeAgO3,Ge,Ag,FALSE,-,-,0.63,0.63,0.95,2.01,1.93,2.174450466,2.488353231,-1.992071429,0.6108199,-,0.678571429,cubic
GeAlO3,Ge,Al,FALSE,-,-,0.63,0.63,0.54,2.01,1.61,2.174450466,1.892894405,-1.350964286,0.739910704,-,0.385714286,cubic
GeAsO3,Ge,As,FALSE,-,-,0.63,0.63,0.52,2.01,2.18,2.174450466,1.932227032,-1.187928571,0.747618107,-,0.371428571,cubic
GeAuO3,Ge,Au,FALSE,0,0,0.63,0.63,0.93,2.01,2.54,2.174450466,2.31369847,-1.820035714,0.61606299,-,0.664285714,cubic
GeBO3,Ge,B,FALSE,-,-,0.63,0.63,0.27,2.01,2.04,2.174450466,1.624661665,-0.784607143,0.859536986,-,0.192857143,cubic
GeBaO3,Ge,Ba,FALSE,-,-,0.63,0.63,1.35,2.01,0.89,2.174450466,2.64009357,-2.921785714,0.521973369,-,0.964285714,orthorhombic
GeBeO3,Ge,Be,FALSE,-,-,0.63,0.63,0.45,2.01,1.57,2.174450466,1.803349248,-1.203428571,0.77590636,-,0.321428571,cubic
GeBiO3,Ge,Bi,FALSE,-,-,0.63,0.63,0.9,2.01,2.02,2.174450466,2.215655462,-1.884857143,0.624098594,-,0.642857143,cubic
GeCaO3,Ge,Ca,FALSE,-,-,0.63,0.63,1,2.01,1,2.174450466,2.318139449,-2.288285714,0.598094486,-,0.714285714,tetragonal
GeCdO3,Ge,Cd,FALSE,-,-,0.63,0.63,0.95,2.01,1.69,2.174450466,2.286435201,-2.046071429,0.6108199,-,0.678571429,orthorhombic
GeCeO3,Ge,Ce,FALSE,2,4,0.73,0.63,0.87,2.01,1.12,2.174450466,2.268642439,-2.118035714,0.663496671,-11.95577222,0.621428571,orthorhombic
GeCoO3,Ge,Co,FALSE,2,4,0.73,0.63,0.53,2.01,1.88,2.174450466,1.930310969,-1.328535714,0.780382095,7.245495609,0.378571429,cubic
GeCrO3,Ge,Cr,FALSE,2,4,0.73,0.63,0.55,2.01,1.66,2.174450466,1.960053288,-1.420678571,0.772378176,7.92129094,0.392857143,cubic
GeCsO3,Ge,Cs,FALSE,-,-,0.63,0.63,1.67,2.01,0.79,2.174450466,3.009747218,-3.500857143,0.467565722,-,1.192857143,orthorhombic
GeCuO3,Ge,Cu,FALSE,-,-,0.63,0.63,0.68,2.01,1.9,2.174450466,2.005573846,-1.529214286,0.690109022,-,0.485714286,cubic
GeDyO3,Ge,Dy,FALSE,-,-,0.63,0.63,0.99,2.01,1.22,2.174450466,2.255580699,-2.221392857,0.600596973,-,0.707142857,cubic
GeErO3,Ge,Er,FALSE,-,-,0.63,0.63,0.89,2.01,1.24,2.174450466,2.250676638,-2.042964286,0.626823915,-,0.635714286,cubic
GeEuO3,Ge,Eu,FALSE,-,-,0.63,0.63,1.06,2.01,1.2,2.174450466,2.354367494,-2.347642857,0.583506815,-,0.757142857,orthorhombic
GeFeO3,Ge,Fe,FALSE,2,4,0.73,0.63,0.59,2.01,1.83,2.174450466,1.999521816,-1.445928571,0.756852987,9.994866417,0.421428571,cubic
GeGaO3,Ge,Ga,FALSE,-,-,0.63,0.63,0.62,2.01,1.81,2.174450466,1.974643898,-1.445107143,0.71060731,-,0.442857143,cubic
GeGdO3,Ge,Gd,FALSE,-,-,0.63,0.63,0.94,2.01,1.2,2.174450466,2.28415608,-2.138928571,0.613430242,-,0.671428571,cubic
Ge2O3,Ge,Ge,FALSE,-,-,0.63,0.63,0.63,2.01,2.01,2.174450466,1.899964183,-1.4175,0.707106781,-,0.45,tetragonal
GeHfO3,Ge,Hf,FALSE,2,4,0.73,0.63,0.71,2.01,1.3,2.174450466,2.027412322,-1.792821429,0.713809215,71.99523971,0.507142857,orthorhombic
GeHgO3,Ge,Hg,FALSE,-,-,0.63,0.63,1.11,2.01,2,2.174450466,2.323654714,-2.254607143,0.571883174,-,0.792857143,cubic
GeHoO3,Ge,Ho,FALSE,-,-,0.63,0.63,0.9,2.01,1.23,2.174450466,2.25865608,-2.062607143,0.624098594,-,0.642857143,cubic
GeInO3,Ge,In,FALSE,-,-,0.63,0.63,0.8,2.01,1.78,2.174450466,2.147680955,-1.764928571,0.652466712,-,0.571428571,cubic
GeIrO3,Ge,Ir,FALSE,2,4,0.73,0.63,0.63,2.01,2.2,2.174450466,2.009082787,-1.419035714,0.741939628,13.95251107,0.45,cubic
GeKO3,Ge,K,FALSE,-,-,0.63,0.63,1.38,2.01,0.82,2.174450466,2.723507129,-2.989714286,0.516340563,-,0.985714286,orthorhombic
GeLaO3,Ge,La,FALSE,-,-,0.63,0.63,1.03,2.01,1.1,2.174450466,2.376509378,-2.317964286,0.590710603,-,0.735714286,cubic
GeLiO3,Ge,Li,FALSE,-,-,0.63,0.63,0.76,2.01,0.98,2.174450466,2.095547886,-1.875357143,0.664549429,-,0.542857143,cubic
GeLuO3,Ge,Lu,FALSE,-,-,0.63,0.63,0.86,2.01,1.27,2.174450466,2.209114963,-1.984035714,0.635144587,-,0.614285714,cubic
GeMgO3,Ge,Mg,FALSE,-,-,0.63,0.63,0.72,2.01,1.31,2.174450466,2.046489492,-1.731535714,0.677088097,-,0.514285714,cubic
GeMnO3,Ge,Mn,FALSE,2,4,0.73,0.63,0.53,2.01,1.55,2.174450466,2.16999357,-1.414571429,0.780382095,7.245495609,0.378571429,cubic
GeMoO3,Ge,Mo,FALSE,2,4,0.73,0.63,0.65,2.01,2.16,2.174450466,1.7893,-1.46425,0.734701192,17.50520162,0.464285714,orthorhombic
GeNaO3,Ge,Na,FALSE,-,-,0.63,0.63,1.02,2.01,0.93,2.174450466,2.425828064,-2.338821429,0.593151556,-,0.728571429,orthorhombic
GeNbO3,Ge,Nb,FALSE,2,4,0.73,0.63,0.68,2.01,1.6,2.174450466,1.955055241,-1.662428571,0.72410454,28.31965921,0.485714286,orthorhombic
GeNdO3,Ge,Nd,FALSE,-,-,0.63,0.63,0.98,2.01,1.14,2.174450466,2.320966993,-2.222,0.60312049,-,0.7,cubic
GeNiO3,Ge,Ni,FALSE,2,4,0.73,0.63,0.48,2.01,1.91,2.174450466,2.103725488,-1.23375,0.801136938,6.171539669,0.342857143,cubic
GeNpO3,Ge,Np,FALSE,0,0,0.63,0.63,0.86,2.01,1.36,2.174450466,0,-1.963785714,0.635144587,-,0.614285714,cubic
GeOsO3,Ge,Os,FALSE,0,0,0.63,0.63,0.57,2.01,2.2,2.174450466,1.954921624,-1.270392857,0.728643028,-,0.407142857,cubic
GePaO3,Ge,Pa,FALSE,0,0,0.63,0.63,0.91,2.01,1.5,2.174450466,0,-2.01925,0.621396868,-,0.65,rhombohedral
GePbO3,Ge,Pb,FALSE,2,4,0.73,0.63,0.78,2.01,2.33,2.174450466,2.362863567,-1.646035714,0.690888736,-30.45889775,0.557142857,rhombohedral
GePdO3,Ge,Pd,FALSE,2,4,0.73,0.63,0.62,2.01,2.2,2.174450466,2.04250519,-1.401642857,0.745612596,12.67617504,0.442857143,cubic
GePmO3,Ge,Pm,FALSE,0,0,0.63,0.63,0.97,2.01,1.13,2.174450466,0,-2.206857143,0.605665302,-,0.692857143,cubic
GePrO3,Ge,Pr,FALSE,2,4,0.73,0.63,0.85,2.01,1.13,2.174450466,2.340791612,-2.080642857,0.66939442,-13.6390084,0.607142857,cubic
GePtO3,Ge,Pt,FALSE,0,0,0.63,0.63,0.67,2.01,2.28,2.174450466,2.64390067,-1.426321429,0.693442882,-,0.478571429,cubic
GePuO3,Ge,Pu,FALSE,0,0,0.63,0.63,0.83,2.01,1.28,2.174450466,2.226583834,-1.929607143,0.643689133,-,0.592857143,cubic
GeRbO3,Ge,Rb,FALSE,-,-,0.63,0.63,1.52,2.01,0.82,2.174450466,2.825996661,-3.233214286,0.491584509,-,1.085714286,orthorhombic
GeReO3,Ge,Re,FALSE,2,4,0.73,0.63,0.63,2.01,1.9,2.174450466,1.98797081,-1.49725,0.741939628,13.95251107,0.45,cubic
GeRhO3,Ge,Rh,FALSE,2,4,0.73,0.63,0.6,2.01,2.28,2.174450466,2.001424352,-1.346,0.753068722,10.74102696,0.428571429,cubic
GeRuO3,Ge,Ru,FALSE,2,4,0.73,0.63,0.62,2.01,2.2,2.174450466,2.018753288,-1.401642857,0.745612596,12.67617504,0.442857143,cubic
GeSbO3,Ge,Sb,FALSE,2,4,0.73,0.63,0.68,2.01,2.05,2.174450466,2.075848892,-1.545107143,0.72410454,28.31965921,0.485714286,cubic
GeScO3,Ge,Sc,FALSE,-,-,0.63,0.63,0.75,2.01,1.36,2.174450466,2.074614707,-1.772464286,0.667640356,-,0.535714286,cubic
GeSiO3,Ge,Si,FALSE,2,4,0.73,0.63,0.4,2.01,1.9,2.174450466,1.783360927,-1.097214286,0.836743024,5.567356093,0.285714286,tetragonal
GeSmO3,Ge,Sm,FALSE,-,-,0.63,0.63,0.96,2.01,1.17,2.174450466,2.311832729,-2.180464286,0.60823168,-,0.685714286,cubic
GeSnO3,Ge,Sn,FALSE,2,4,0.73,0.63,0.69,2.01,1.96,2.174450466,2.052287148,-1.585964286,0.720639925,35.57702042,0.492857143,orthorhombic
GeSrO3,Ge,Sr,FALSE,-,-,0.63,0.63,1.18,2.01,0.95,2.174450466,2.452968591,-2.612607143,0.556366963,-,0.842857143,orthorhombic
GeTaO3,Ge,Ta,FALSE,2,4,0.73,0.63,0.68,2.01,1.5,2.174450466,1.956808277,-1.6885,0.72410454,28.31965921,0.485714286,rhombohedral
GeTbO3,Ge,Tb,FALSE,2,4,0.73,0.63,0.76,2.01,1.2,2.174450466,2.256932729,-1.905857143,0.697285854,-49.85758791,0.542857143,cubic
GeTcO3,Ge,Tc,FALSE,0,0,0.63,0.63,0.6,2.01,1.9,2.174450466,0,-1.390071429,0.717713383,-,0.428571429,cubic
GeTeO3,Ge,Te,FALSE,2,4,0.73,0.63,0.97,2.01,2.1,2.174450466,2.115491508,-2.036464286,0.635501031,-7.851851422,0.692857143,cubic
GeThO3,Ge,Th,FALSE,2,4,0.73,0.63,0.94,2.01,1.3,2.174450466,2.246056043,-2.192857143,0.64364848,-8.653733177,0.671428571,cubic
GeTiO3,Ge,Ti,FALSE,2,4,0.73,0.63,0.61,2.01,1.54,2.174450466,1.927848949,-1.556321429,0.749322111,11.6226702,0.435714286,tetragonal
GeTlO3,Ge,Tl,FALSE,-,-,0.63,0.63,1.2,2.01,1.62,2.174450466,2.297683747,-2.496642857,0.552087218,-,0.857142857,rhombohedral
GeTmO3,Ge,Tm,FALSE,-,-,0.63,0.63,0.96,2.01,1.25,2.174450466,2.119700811,-2.162464286,0.60823168,-,0.685714286,cubic
GeUO3,Ge,U,FALSE,2,4,0.73,0.63,0.89,2.01,1.38,2.174450466,2.0478,-2.085035714,0.657701941,-10.70466769,0.635714286,cubic
GeVO3,Ge,V,FALSE,2,4,0.73,0.63,0.58,2.01,1.63,2.174450466,1.758039163,-1.480678571,0.760675477,9.357539047,0.414285714,tetragonal
GeWO3,Ge,W,FALSE,2,4,0.73,0.63,0.66,2.01,2.36,2.174450466,1.7456,-1.4295,0.731134682,20.06583605,0.471428571,tetragonal
GeYO3,Ge,Y,FALSE,-,-,0.63,0.63,0.9,2.01,1.22,2.174450466,2.235124352,-2.064857143,0.624098594,-,0.642857143,cubic
GeYbO3,Ge,Yb,FALSE,-,-,0.63,0.63,0.95,2.01,1.1,2.174450466,2.223980699,-2.178821429,0.6108199,-,0.678571429,orthorhombic
GeZnO3,Ge,Zn,FALSE,-,-,0.63,0.63,0.74,2.01,1.65,2.174450466,2.096140752,-1.689821429,0.670760171,-,0.528571429,cubic
GeZrO3,Ge,Zr,FALSE,2,4,0.73,0.63,0.72,2.01,1.33,2.174450466,2.043777903,-1.802392857,0.710442191,144.9560025,0.514285714,cubic
HfAcO3,Hf,Ac,FALSE,0,0,0.83,0.71,1.12,1.3,1.1,2.358736674,0,-2.925642857,0.625733382,-,0.8,orthorhombic
HfAgO3,Hf,Ag,FALSE,-,-,0.83,0.71,0.95,1.3,1.93,2.358736674,2.488353231,-2.340821429,0.670999201,-,0.678571429,orthorhombic
HfAlO3,Hf,Al,FALSE,-,-,0.83,0.71,0.54,1.3,1.61,2.358736674,1.892894405,-1.618607143,0.81280831,-,0.385714286,cubic
HfAsO3,Hf,As,FALSE,4,2,0.83,0.71,0.58,1.3,2.18,2.358736674,1.932227032,-1.529357143,0.79638794,2.385267173,0.414285714,cubic
HfAuO3,Hf,Au,FALSE,0,0,0.83,0.71,0.93,1.3,2.54,2.358736674,2.31369847,-2.120142857,0.676758851,-,0.664285714,cubic
HfBO3,Hf,B,FALSE,4,2,0.83,0.71,0.27,1.3,2.04,2.358736674,1.624661665,-0.953071429,0.944220432,0.134655644,0.192857143,cubic
HfBaO3,Hf,Ba,FALSE,4,2,0.83,0.71,1.35,1.3,0.89,2.358736674,2.64009357,-3.44625,0.573399317,-20.01865068,0.964285714,orthorhombic
HfBeO3,Hf,Be,FALSE,4,2,0.83,0.71,0.45,1.3,1.57,2.358736674,1.803349248,-1.451107143,0.852350336,-0.837203994,0.321428571,cubic
HfBiO3,Hf,Bi,FALSE,-,-,0.83,0.71,0.9,1.3,2.02,2.358736674,2.215655462,-2.2145,0.68558614,-,0.642857143,cubic
HfCaO3,Hf,Ca,FALSE,-,-,0.83,0.71,1,1.3,1,2.358736674,2.318139449,-2.716142857,0.657020051,-,0.714285714,orthorhombic
HfCdO3,Hf,Cd,FALSE,4,2,0.83,0.71,0.95,1.3,1.69,2.358736674,2.286435201,-2.411964286,0.670999201,-40.40629963,0.678571429,orthorhombic
